,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
1,2022-08-06,21:00,Ligue 1,Matchweek 1,Sat,Away,W,5,0,Clermont Foot,3.5,0.3,62.0,12203.0,Marquinhos,3-4-3,Jeremy Stinat,Match Report,,18.0,12.0,12.9,1.0,0.0,0.0,2023,Paris Saint Germain
2,2022-08-13,21:00,Ligue 1,Matchweek 2,Sat,Home,W,5,2,Montpellier,3.2,0.9,59.0,46000.0,Marquinhos,3-4-1-2,Willy Delajod,Match Report,,18.0,8.0,18.2,3.0,1.0,2.0,2023,Paris Saint Germain
3,2022-08-21,20:45,Ligue 1,Matchweek 3,Sun,Away,W,7,1,Lille,3.4,1.7,52.0,47526.0,Marquinhos,3-4-3,Clément Turpin,Match Report,,16.0,9.0,11.9,0.0,0.0,0.0,2023,Paris Saint Germain
4,2022-08-28,20:45,Ligue 1,Matchweek 4,Sun,Home,D,1,1,Monaco,2.7,1.2,67.0,46000.0,Marquinhos,3-4-3,Benoît Bastien,Match Report,,17.0,4.0,18.7,0.0,1.0,1.0,2023,Paris Saint Germain
5,2022-08-31,21:00,Ligue 1,Matchweek 5,Wed,Away,W,3,0,Toulouse,2.8,0.8,62.0,31700.0,Marquinhos,3-4-3,Hakim Ben El Hadj Salem,Match Report,,20.0,12.0,14.8,2.0,0.0,0.0,2023,Paris Saint Germain
6,2022-09-03,21:00,Ligue 1,Matchweek 6,Sat,Away,W,3,0,Nantes,2.7,0.4,60.0,34406.0,Marquinhos,3-4-3,Pierre Gaillouste,Match Report,,19.0,6.0,13.2,1.0,0.0,0.0,2023,Paris Saint Germain
8,2022-09-10,17:00,Ligue 1,Matchweek 7,Sat,Home,W,1,0,Brest,1.7,1.1,61.0,45000.0,Presnel Kimpembe,3-4-1-2,Jérémie Pignard,Match Report,,13.0,4.0,13.7,0.0,0.0,0.0,2023,Paris Saint Germain
10,2022-09-18,20:45,Ligue 1,Matchweek 8,Sun,Away,W,1,0,Lyon,1.6,1.0,65.0,58230.0,Marquinhos,3-4-3,François Letexier,Match Report,,15.0,7.0,15.0,1.0,0.0,0.0,2023,Paris Saint Germain
11,2022-10-01,21:00,Ligue 1,Matchweek 9,Sat,Home,W,2,1,Nice,1.0,0.5,57.0,47000.0,Marquinhos,3-4-3,Jérôme Brisard,Match Report,,12.0,4.0,20.1,3.0,0.0,0.0,2023,Paris Saint Germain
13,2022-10-08,21:00,Ligue 1,Matchweek 10,Sat,Away,D,0,0,Reims,1.2,1.8,63.0,20543.0,Marquinhos,3-4-3,Pierre Gaillouste,Match Report,,11.0,3.0,17.1,1.0,0.0,0.0,2023,Paris Saint Germain
15,2022-10-16,20:45,Ligue 1,Matchweek 11,Sun,Home,W,1,0,Marseille,2.5,1.2,50.0,47000.0,Marquinhos,4-3-1-2,Clément Turpin,Match Report,,23.0,8.0,16.4,1.0,0.0,0.0,2023,Paris Saint Germain
16,2022-10-21,21:00,Ligue 1,Matchweek 12,Fri,Away,W,3,0,Ajaccio,2.5,0.3,65.0,10000.0,Marquinhos,4-3-1-2,Johan Hamel,Match Report,,11.0,6.0,13.6,1.0,0.0,0.0,2023,Paris Saint Germain
18,2022-10-29,17:00,Ligue 1,Matchweek 13,Sat,Home,W,4,3,Troyes,2.9,2.0,67.0,47000.0,Presnel Kimpembe,4-3-3,Eric Wattellier,Match Report,,18.0,10.0,19.8,1.0,1.0,1.0,2023,Paris Saint Germain
20,2022-11-06,13:00,Ligue 1,Matchweek 14,Sun,Away,W,2,1,Lorient,1.6,0.8,59.0,16778.0,Marquinhos,3-4-1-2,Benoît Bastien,Match Report,,15.0,7.0,13.6,0.0,0.0,0.0,2023,Paris Saint Germain
21,2022-11-13,13:00,Ligue 1,Matchweek 15,Sun,Home,W,5,0,Auxerre,2.0,0.7,59.0,45000.0,Marco Verratti,4-3-1-2,Thomas Léonard,Match Report,,9.0,6.0,13.5,0.0,0.0,0.0,2023,Paris Saint Germain
